# Lorenzo Manunza 14th April 2025

118408 atoms
1 atom types

-443.94194 443.94194 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

     1 1  443.327064 -86.62 0.00
     2 1  442.097308 -85.91 0.00
     3 1  442.097308 -84.49 0.00
     4 1  443.327064 -83.78 0.00
     5 1  440.867552 -86.62 0.00
     6 1  439.637796 -85.91 0.00
     7 1  439.637796 -84.49 0.00
     8 1  440.867552 -83.78 0.00
     9 1  438.408040 -86.62 0.00
    10 1  437.178284 -85.91 0.00
    11 1  437.178284 -84.49 0.00
    12 1  438.408040 -83.78 0.00
    13 1  435.948528 -86.62 0.00
    14 1  434.718772 -85.91 0.00
    15 1  434.718772 -84.49 0.00
    16 1  435.948528 -83.78 0.00
    17 1  433.489016 -86.62 0.00
    18 1  432.259260 -85.91 0.00
    19 1  432.259260 -84.49 0.00
    20 1  433.489016 -83.78 0.00
    21 1  431.029504 -86.62 0.00
    22 1  429.799748 -85.91 0.00
    23 1  429.799748 -84.49 0.00
    24 1  431.029504 -83.78 0.00
    25 1  428.569992 -86.62 0.00
    26 1  427.340235 -85.91 0.00
    27 1  427.340235 -84.49 0.00
    28 1  428.569992 -83.78 0.00
    29 1  426.110479 -86.62 0.00
    30 1  424.880723 -85.91 0.00
    31 1  424.880723 -84.49 0.00
    32 1  426.110479 -83.78 0.00
    33 1  423.650967 -86.62 0.00
    34 1  422.421211 -85.91 0.00
    35 1  422.421211 -84.49 0.00
    36 1  423.650967 -83.78 0.00
    37 1  421.191455 -86.62 0.00
    38 1  419.961699 -85.91 0.00
    39 1  419.961699 -84.49 0.00
    40 1  421.191455 -83.78 0.00
    41 1  418.731943 -86.62 0.00
    42 1  417.502187 -85.91 0.00
    43 1  417.502187 -84.49 0.00
    44 1  418.731943 -83.78 0.00
    45 1  416.272431 -86.62 0.00
    46 1  415.042675 -85.91 0.00
    47 1  415.042675 -84.49 0.00
    48 1  416.272431 -83.78 0.00
    49 1  413.812919 -86.62 0.00
    50 1  412.583163 -85.91 0.00
    51 1  412.583163 -84.49 0.00
    52 1  413.812919 -83.78 0.00
    53 1  411.353407 -86.62 0.00
    54 1  410.123650 -85.91 0.00
    55 1  410.123650 -84.49 0.00
    56 1  411.353407 -83.78 0.00
    57 1  408.893894 -86.62 0.00
    58 1  407.664138 -85.91 0.00
    59 1  407.664138 -84.49 0.00
    60 1  408.893894 -83.78 0.00
    61 1  406.434382 -86.62 0.00
    62 1  405.204626 -85.91 0.00
    63 1  405.204626 -84.49 0.00
    64 1  406.434382 -83.78 0.00
    65 1  403.974870 -86.62 0.00
    66 1  402.745114 -85.91 0.00
    67 1  402.745114 -84.49 0.00
    68 1  403.974870 -83.78 0.00
    69 1  401.515358 -86.62 0.00
    70 1  400.285602 -85.91 0.00
    71 1  400.285602 -84.49 0.00
    72 1  401.515358 -83.78 0.00
    73 1  399.055846 -86.62 0.00
    74 1  397.826090 -85.91 0.00
    75 1  397.826090 -84.49 0.00
    76 1  399.055846 -83.78 0.00
    77 1  396.596334 -86.62 0.00
    78 1  395.366578 -85.91 0.00
    79 1  395.366578 -84.49 0.00
    80 1  396.596334 -83.78 0.00
    81 1  394.136822 -86.62 0.00
    82 1  392.907065 -85.91 0.00
    83 1  392.907065 -84.49 0.00
    84 1  394.136822 -83.78 0.00
    85 1  391.677309 -86.62 0.00
    86 1  390.447553 -85.91 0.00
    87 1  390.447553 -84.49 0.00
    88 1  391.677309 -83.78 0.00
    89 1  389.217797 -86.62 0.00
    90 1  387.988041 -85.91 0.00
    91 1  387.988041 -84.49 0.00
    92 1  389.217797 -83.78 0.00
    93 1  386.758285 -86.62 0.00
    94 1  385.528529 -85.91 0.00
    95 1  385.528529 -84.49 0.00
    96 1  386.758285 -83.78 0.00
    97 1  384.298773 -86.62 0.00
    98 1  383.069017 -85.91 0.00
    99 1  383.069017 -84.49 0.00
   100 1  384.298773 -83.78 0.00
   101 1  381.839261 -86.62 0.00
   102 1  380.609505 -85.91 0.00
   103 1  380.609505 -84.49 0.00
   104 1  381.839261 -83.78 0.00
   105 1  379.379749 -86.62 0.00
   106 1  378.149993 -85.91 0.00
   107 1  378.149993 -84.49 0.00
   108 1  379.379749 -83.78 0.00
   109 1  376.920236 -86.62 0.00
   110 1  375.690480 -85.91 0.00
   111 1  375.690480 -84.49 0.00
   112 1  376.920236 -83.78 0.00
   113 1  374.460724 -86.62 0.00
   114 1  373.230968 -85.91 0.00
   115 1  373.230968 -84.49 0.00
   116 1  374.460724 -83.78 0.00
   117 1  372.001212 -86.62 0.00
   118 1  370.771456 -85.91 0.00
   119 1  370.771456 -84.49 0.00
   120 1  372.001212 -83.78 0.00
   121 1  369.541700 -86.62 0.00
   122 1  368.311944 -85.91 0.00
   123 1  368.311944 -84.49 0.00
   124 1  369.541700 -83.78 0.00
   125 1  367.082188 -86.62 0.00
   126 1  365.852432 -85.91 0.00
   127 1  365.852432 -84.49 0.00
   128 1  367.082188 -83.78 0.00
   129 1  364.622676 -86.62 0.00
   130 1  363.392920 -85.91 0.00
   131 1  363.392920 -84.49 0.00
   132 1  364.622676 -83.78 0.00
   133 1  362.163164 -86.62 0.00
   134 1  360.933408 -85.91 0.00
   135 1  360.933408 -84.49 0.00
   136 1  362.163164 -83.78 0.00
   137 1  359.703651 -86.62 0.00
   138 1  358.473895 -85.91 0.00
   139 1  358.473895 -84.49 0.00
   140 1  359.703651 -83.78 0.00
   141 1  357.244139 -86.62 0.00
   142 1  356.014383 -85.91 0.00
   143 1  356.014383 -84.49 0.00
