# Lorenzo Manunza 14th April 2025

275848 atoms
1 atom types

-1034.22486 1034.22486 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

     1 1  1033.609980 -86.62 0.00
     2 1  1032.380224 -85.91 0.00
     3 1  1032.380224 -84.49 0.00
     4 1  1033.609980 -83.78 0.00
     5 1  1031.150468 -86.62 0.00
     6 1  1029.920711 -85.91 0.00
     7 1  1029.920711 -84.49 0.00
     8 1  1031.150468 -83.78 0.00
     9 1  1028.690955 -86.62 0.00
    10 1  1027.461199 -85.91 0.00
    11 1  1027.461199 -84.49 0.00
    12 1  1028.690955 -83.78 0.00
    13 1  1026.231443 -86.62 0.00
    14 1  1025.001687 -85.91 0.00
    15 1  1025.001687 -84.49 0.00
    16 1  1026.231443 -83.78 0.00
    17 1  1023.771931 -86.62 0.00
    18 1  1022.542175 -85.91 0.00
    19 1  1022.542175 -84.49 0.00
    20 1  1023.771931 -83.78 0.00
    21 1  1021.312419 -86.62 0.00
    22 1  1020.082663 -85.91 0.00
    23 1  1020.082663 -84.49 0.00
    24 1  1021.312419 -83.78 0.00
    25 1  1018.852907 -86.62 0.00
    26 1  1017.623151 -85.91 0.00
    27 1  1017.623151 -84.49 0.00
    28 1  1018.852907 -83.78 0.00
    29 1  1016.393395 -86.62 0.00
    30 1  1015.163639 -85.91 0.00
    31 1  1015.163639 -84.49 0.00
    32 1  1016.393395 -83.78 0.00
    33 1  1013.933882 -86.62 0.00
    34 1  1012.704126 -85.91 0.00
    35 1  1012.704126 -84.49 0.00
    36 1  1013.933882 -83.78 0.00
    37 1  1011.474370 -86.62 0.00
    38 1  1010.244614 -85.91 0.00
    39 1  1010.244614 -84.49 0.00
    40 1  1011.474370 -83.78 0.00
    41 1  1009.014858 -86.62 0.00
    42 1  1007.785102 -85.91 0.00
    43 1  1007.785102 -84.49 0.00
    44 1  1009.014858 -83.78 0.00
    45 1  1006.555346 -86.62 0.00
    46 1  1005.325590 -85.91 0.00
    47 1  1005.325590 -84.49 0.00
    48 1  1006.555346 -83.78 0.00
    49 1  1004.095834 -86.62 0.00
    50 1  1002.866078 -85.91 0.00
    51 1  1002.866078 -84.49 0.00
    52 1  1004.095834 -83.78 0.00
    53 1  1001.636322 -86.62 0.00
    54 1  1000.406566 -85.91 0.00
    55 1  1000.406566 -84.49 0.00
    56 1  1001.636322 -83.78 0.00
    57 1   999.176810 -86.62 0.00
    58 1   997.947054 -85.91 0.00
    59 1   997.947054 -84.49 0.00
    60 1   999.176810 -83.78 0.00
    61 1   996.717297 -86.62 0.00
    62 1   995.487541 -85.91 0.00
    63 1   995.487541 -84.49 0.00
    64 1   996.717297 -83.78 0.00
    65 1   994.257785 -86.62 0.00
    66 1   993.028029 -85.91 0.00
    67 1   993.028029 -84.49 0.00
    68 1   994.257785 -83.78 0.00
    69 1   991.798273 -86.62 0.00
    70 1   990.568517 -85.91 0.00
    71 1   990.568517 -84.49 0.00
    72 1   991.798273 -83.78 0.00
    73 1   989.338761 -86.62 0.00
    74 1   988.109005 -85.91 0.00
    75 1   988.109005 -84.49 0.00
    76 1   989.338761 -83.78 0.00
    77 1   986.879249 -86.62 0.00
    78 1   985.649493 -85.91 0.00
    79 1   985.649493 -84.49 0.00
    80 1   986.879249 -83.78 0.00
    81 1   984.419737 -86.62 0.00
    82 1   983.189981 -85.91 0.00
    83 1   983.189981 -84.49 0.00
    84 1   984.419737 -83.78 0.00
    85 1   981.960225 -86.62 0.00
    86 1   980.730469 -85.91 0.00
    87 1   980.730469 -84.49 0.00
    88 1   981.960225 -83.78 0.00
    89 1   979.500712 -86.62 0.00
    90 1   978.270956 -85.91 0.00
    91 1   978.270956 -84.49 0.00
    92 1   979.500712 -83.78 0.00
    93 1   977.041200 -86.62 0.00
    94 1   975.811444 -85.91 0.00
    95 1   975.811444 -84.49 0.00
    96 1   977.041200 -83.78 0.00
    97 1   974.581688 -86.62 0.00
    98 1   973.351932 -85.91 0.00
    99 1   973.351932 -84.49 0.00
   100 1   974.581688 -83.78 0.00
   101 1   972.122176 -86.62 0.00
   102 1   970.892420 -85.91 0.00
   103 1   970.892420 -84.49 0.00
   104 1   972.122176 -83.78 0.00
   105 1   969.662664 -86.62 0.00
   106 1   968.432908 -85.91 0.00
   107 1   968.432908 -84.49 0.00
   108 1   969.662664 -83.78 0.00
