# Lorenzo Manunza 14th April 2025

59204 atoms
1 atom types

-443.94194 443.94194 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

    1 1  443.327064 -86.62 0.0
    2 1  442.097308 -85.91 0.0
    3 1  442.097308 -84.49 0.0
    4 1  443.327064 -83.78 0.0
    5 1  440.867552 -86.62 0.0
    6 1  439.637796 -85.91 0.0
    7 1  439.637796 -84.49 0.0
    8 1  440.867552 -83.78 0.0
    9 1  438.408040 -86.62 0.0
   10 1  437.178284 -85.91 0.0
   11 1  437.178284 -84.49 0.0
   12 1  438.408040 -83.78 0.0
   13 1  435.948528 -86.62 0.0
   14 1  434.718772 -85.91 0.0
   15 1  434.718772 -84.49 0.0
   16 1  435.948528 -83.78 0.0
   17 1  433.489016 -86.62 0.0
   18 1  432.259260 -85.91 0.0
   19 1  432.259260 -84.49 0.0
   20 1  433.489016 -83.78 0.0
   21 1  431.029504 -86.62 0.0
   22 1  429.799748 -85.91 0.0
   23 1  429.799748 -84.49 0.0
   24 1  431.029504 -83.78 0.0
   25 1  428.569992 -86.62 0.0
   26 1  427.340235 -85.91 0.0
   27 1  427.340235 -84.49 0.0
   28 1  428.569992 -83.78 0.0
   29 1  426.110479 -86.62 0.0
   30 1  424.880723 -85.91 0.0
   31 1  424.880723 -84.49 0.0
   32 1  426.110479 -83.78 0.0
   33 1  423.650967 -86.62 0.0
   34 1  422.421211 -85.91 0.0
   35 1  422.421211 -84.49 0.0
   36 1  423.650967 -83.78 0.0
   37 1  421.191455 -86.62 0.0
   38 1  419.961699 -85.91 0.0
   39 1  419.961699 -84.49 0.0
   40 1  421.191455 -83.78 0.0
   41 1  418.731943 -86.62 0.0
   42 1  417.502187 -85.91 0.0
   43 1  417.502187 -84.49 0.0
   44 1  418.731943 -83.78 0.0
   45 1  416.272431 -86.62 0.0
   46 1  415.042675 -85.91 0.0
   47 1  415.042675 -84.49 0.0
   48 1  416.272431 -83.78 0.0
   49 1  413.812919 -86.62 0.0
   50 1  412.583163 -85.91 0.0
   51 1  412.583163 -84.49 0.0
   52 1  413.812919 -83.78 0.0
   53 1  411.353407 -86.62 0.0
   54 1  410.123650 -85.91 0.0
   55 1  410.123650 -84.49 0.0
   56 1  411.353407 -83.78 0.0
   57 1  408.893894 -86.62 0.0
   58 1  407.664138 -85.91 0.0
   59 1  407.664138 -84.49 0.0
   60 1  408.893894 -83.78 0.0
   61 1  406.434382 -86.62 0.0
   62 1  405.204626 -85.91 0.0
   63 1  405.204626 -84.49 0.0
   64 1  406.434382 -83.78 0.0
   65 1  403.974870 -86.62 0.0
   66 1  402.745114 -85.91 0.0
   67 1  402.745114 -84.49 0.0
   68 1  403.974870 -83.78 0.0
   69 1  401.515358 -86.62 0.0
   70 1  400.285602 -85.91 0.0
   71 1  400.285602 -84.49 0.0
   72 1  401.515358 -83.78 0.0
   73 1  399.055846 -86.62 0.0
   74 1  397.826090 -85.91 0.0
   75 1  397.826090 -84.49 0.0
   76 1  399.055846 -83.78 0.0
   77 1  396.596334 -86.62 0.0
   78 1  395.366578 -85.91 0.0
   79 1  395.366578 -84.49 0.0
   80 1  396.596334 -83.78 0.0
   81 1  394.136822 -86.62 0.0
   82 1  392.907065 -85.91 0.0
   83 1  392.907065 -84.49 0.0
   84 1  394.136822 -83.78 0.0
   85 1  391.677309 -86.62 0.0
   86 1  390.447553 -85.91 0.0
   87 1  390.447553 -84.49 0.0
   88 1  391.677309 -83.78 0.0
   89 1  389.217797 -86.62 0.0
   90 1  387.988041 -85.91 0.0
   91 1  387.988041 -84.49 0.0
