# Lorenzo Manunza 14th April 2025

197128 atoms
1 atom types

-739.08340 739.08340 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   163 1  638.858280 -84.49 0.00
   164 1  640.088036 -83.78 0.00
   165 1  637.628524 -86.62 0.00
   166 1  636.398768 -85.91 0.00
   167 1  636.398768 -84.49 0.00
   168 1  637.628524 -83.78 0.00
   169 1  635.169012 -86.62 0.00
   170 1  633.939256 -85.91 0.00
   171 1  633.939256 -84.49 0.00
   172 1  635.169012 -83.78 0.00
   173 1  632.709500 -86.62 0.00
   174 1  631.479744 -85.91 0.00
   175 1  631.479744 -84.49 0.00
   176 1  632.709500 -83.78 0.00
   177 1  630.249988 -86.62 0.00
   178 1  629.020232 -85.91 0.00
   179 1  629.020232 -84.49 0.00
   180 1  630.249988 -83.78 0.00
   181 1  627.790475 -86.62 0.00
   182 1  626.560719 -85.91 0.00
   183 1  626.560719 -84.49 0.00
   184 1  627.790475 -83.78 0.00
   185 1  625.330963 -86.62 0.00
   186 1  624.101207 -85.91 0.00
   187 1  624.101207 -84.49 0.00
   188 1  625.330963 -83.78 0.00
   189 1  622.871451 -86.62 0.00
   190 1  621.641695 -85.91 0.00
   191 1  621.641695 -84.49 0.00
   192 1  622.871451 -83.78 0.00
   193 1  620.411939 -86.62 0.00
   194 1  619.182183 -85.91 0.00
   195 1  619.182183 -84.49 0.00
   196 1  620.411939 -83.78 0.00
   197 1  617.952427 -86.62 0.00
   198 1  616.722671 -85.91 0.00
   199 1  616.722671 -84.49 0.00
   200 1  617.952427 -83.78 0.00
   201 1  615.492915 -86.62 0.00
   202 1  614.263159 -85.91 0.00
   203 1  614.263159 -84.49 0.00
   204 1  615.492915 -83.78 0.00
   205 1  613.033403 -86.62 0.00
   206 1  611.803647 -85.91 0.00
   207 1  611.803647 -84.49 0.00
   208 1  613.033403 -83.78 0.00
   209 1  610.573890 -86.62 0.00
   210 1  609.344134 -85.91 0.00
   211 1  609.344134 -84.49 0.00
   212 1  610.573890 -83.78 0.00
   213 1  608.114378 -86.62 0.00
   214 1  606.884622 -85.91 0.00
   215 1  606.884622 -84.49 0.00
   216 1  608.114378 -83.78 0.00
   217 1  605.654866 -86.62 0.00
   218 1  604.425110 -85.91 0.00
   219 1  604.425110 -84.49 0.00
   220 1  605.654866 -83.78 0.00
   221 1  603.195354 -86.62 0.00
   222 1  601.965598 -85.91 0.00
   223 1  601.965598 -84.49 0.00
   224 1  603.195354 -83.78 0.00
   225 1  600.735842 -86.62 0.00
   226 1  599.506086 -85.91 0.00
   227 1  599.506086 -84.49 0.00
   228 1  600.735842 -83.78 0.00
   229 1  598.276330 -86.62 0.00
   230 1  597.046574 -85.91 0.00
   231 1  597.046574 -84.49 0.00
   232 1  598.276330 -83.78 0.00
   233 1  595.816818 -86.62 0.00
   234 1  594.587061 -85.91 0.00
   235 1  594.587061 -84.49 0.00
   236 1  595.816818 -83.78 0.00
   237 1  593.357305 -86.62 0.00
   238 1  592.127549 -85.91 0.00
   239 1  592.127549 -84.49 0.00
   240 1  593.357305 -83.78 0.00
   241 1  590.897793 -86.62 0.00
   242 1  589.668037 -85.91 0.00
   243 1  589.668037 -84.49 0.00
   244 1  590.897793 -83.78 0.00
   245 1  588.438281 -86.62 0.00
   246 1  587.208525 -85.91 0.00
   247 1  587.208525 -84.49 0.00
   248 1  588.438281 -83.78 0.00
   249 1  585.978769 -86.62 0.00
   250 1  584.749013 -85.91 0.00
   251 1  584.749013 -84.49 0.00
   252 1  585.978769 -83.78 0.00
   253 1  583.519257 -86.62 0.00
   254 1  582.289501 -85.91 0.00
   255 1  582.289501 -84.49 0.00
   256 1  583.519257 -83.78 0.00
   257 1  581.059745 -86.62 0.00
   258 1  579.829989 -85.91 0.00
   259 1  579.829989 -84.49 0.00
   260 1  581.059745 -83.78 0.00
   261 1  578.600233 -86.62 0.00
   262 1  577.370476 -85.91 0.00
   263 1  577.370476 -84.49 0.00
   264 1  578.600233 -83.78 0.00
   265 1  576.140720 -86.62 0.00
   266 1  574.910964 -85.91 0.00
   267 1  574.910964 -84.49 0.00
   268 1  576.140720 -83.78 0.00
   269 1  573.681208 -86.62 0.00
   270 1  572.451452 -85.91 0.00
   271 1  572.451452 -84.49 0.00
   272 1  573.681208 -83.78 0.00
   273 1  571.221696 -86.62 0.00
   274 1  569.991940 -85.91 0.00
   275 1  569.991940 -84.49 0.00
   276 1  571.221696 -83.78 0.00
   277 1  568.762184 -86.62 0.00
   278 1  567.532428 -85.91 0.00
   279 1  567.532428 -84.49 0.00
   280 1  568.762184 -83.78 0.00
   281 1  566.302672 -86.62 0.00
   282 1  565.072916 -85.91 0.00
   283 1  565.072916 -84.49 0.00
   284 1  566.302672 -83.78 0.00
   285 1  563.843160 -86.62 0.00
   286 1  562.613404 -85.91 0.00
   287 1  562.613404 -84.49 0.00
   288 1  563.843160 -83.78 0.00
   289 1  561.383647 -86.62 0.00
   290 1  560.153891 -85.91 0.00
   291 1  560.153891 -84.49 0.00
   292 1  561.383647 -83.78 0.00
   293 1  558.924135 -86.62 0.00
   294 1  557.694379 -85.91 0.00
   295 1  557.694379 -84.49 0.00
   296 1  558.924135 -83.78 0.00
   297 1  556.464623 -86.62 0.00
   298 1  555.234867 -85.91 0.00
   299 1  555.234867 -84.49 0.00
   300 1  556.464623 -83.78 0.00
   301 1  554.005111 -86.62 0.00
   302 1  552.775355 -85.91 0.00
   303 1  552.775355 -84.49 0.00
   304 1  554.005111 -83.78 0.00
   305 1  551.545599 -86.62 0.00
   306 1  550.315843 -85.91 0.00
   307 1  550.315843 -84.49 0.00
   308 1  551.545599 -83.78 0.00
   309 1  549.086087 -86.62 0.00
   310 1  547.856331 -85.91 0.00
   311 1  547.856331 -84.49 0.00
   312 1  549.086087 -83.78 0.00
   313 1  546.626575 -86.62 0.00
   314 1  545.396819 -85.91 0.00
   315 1  545.396819 -84.49 0.00
   316 1  546.626575 -83.78 0.00
   317 1  544.167062 -86.62 0.00
   318 1  542.937306 -85.91 0.00
   319 1  542.937306 -84.49 0.00
   320 1  544.167062 -83.78 0.00
   321 1  541.707550 -86.62 0.00
   322 1  540.477794 -85.91 0.00
   323 1  540.477794 -84.49 0.00
   324 1  541.707550 -83.78 0.00
   325 1  539.248038 -86.62 0.00
   326 1  538.018282 -85.91 0.00
   327 1  538.018282 -84.49 0.00
   328 1  539.248038 -83.78 0.00
   329 1  536.788526 -86.62 0.00
   330 1  535.558770 -85.91 0.00
   331 1  535.558770 -84.49 0.00
   332 1  536.788526 -83.78 0.00
   333 1  534.329014 -86.62 0.00
   334 1  533.099258 -85.91 0.00
   335 1  533.099258 -84.49 0.00
   336 1  534.329014 -83.78 0.00
   337 1  531.869502 -86.62 0.00
