# Lorenzo Manunza 14th April 2025

118244 atoms
1 atom types

-886.65413 886.65413 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

   163 1  786.429009 -84.49 0.0
   164 1  787.658765 -83.78 0.0
   165 1  785.199253 -86.62 0.0
   166 1  783.969497 -85.91 0.0
   167 1  783.969497 -84.49 0.0
   168 1  785.199253 -83.78 0.0
   169 1  782.739741 -86.62 0.0
   170 1  781.509985 -85.91 0.0
   171 1  781.509985 -84.49 0.0
   172 1  782.739741 -83.78 0.0
   173 1  780.280229 -86.62 0.0
   174 1  779.050472 -85.91 0.0
   175 1  779.050472 -84.49 0.0
   176 1  780.280229 -83.78 0.0
   177 1  777.820716 -86.62 0.0
   178 1  776.590960 -85.91 0.0
   179 1  776.590960 -84.49 0.0
   180 1  777.820716 -83.78 0.0
   181 1  775.361204 -86.62 0.0
   182 1  774.131448 -85.91 0.0
   183 1  774.131448 -84.49 0.0
   184 1  775.361204 -83.78 0.0
   185 1  772.901692 -86.62 0.0
   186 1  771.671936 -85.91 0.0
   187 1  771.671936 -84.49 0.0
   188 1  772.901692 -83.78 0.0
   189 1  770.442180 -86.62 0.0
   190 1  769.212424 -85.91 0.0
   191 1  769.212424 -84.49 0.0
   192 1  770.442180 -83.78 0.0
   193 1  767.982668 -86.62 0.0
   194 1  766.752912 -85.91 0.0
   195 1  766.752912 -84.49 0.0
   196 1  767.982668 -83.78 0.0
   197 1  765.523156 -86.62 0.0
   198 1  764.293400 -85.91 0.0
   199 1  764.293400 -84.49 0.0
   200 1  765.523156 -83.78 0.0
   201 1  763.063644 -86.62 0.0
   202 1  761.833887 -85.91 0.0
   203 1  761.833887 -84.49 0.0
   204 1  763.063644 -83.78 0.0
   205 1  760.604131 -86.62 0.0
   206 1  759.374375 -85.91 0.0
   207 1  759.374375 -84.49 0.0
   208 1  760.604131 -83.78 0.0
   209 1  758.144619 -86.62 0.0
   210 1  756.914863 -85.91 0.0
   211 1  756.914863 -84.49 0.0
   212 1  758.144619 -83.78 0.0
   213 1  755.685107 -86.62 0.0
   214 1  754.455351 -85.91 0.0
   215 1  754.455351 -84.49 0.0
   216 1  755.685107 -83.78 0.0
   217 1  753.225595 -86.62 0.0
   218 1  751.995839 -85.91 0.0
   219 1  751.995839 -84.49 0.0
   220 1  753.225595 -83.78 0.0
   221 1  750.766083 -86.62 0.0
   222 1  749.536327 -85.91 0.0
   223 1  749.536327 -84.49 0.0
   224 1  750.766083 -83.78 0.0
   225 1  748.306571 -86.62 0.0
   226 1  747.076815 -85.91 0.0
   227 1  747.076815 -84.49 0.0
   228 1  748.306571 -83.78 0.0
   229 1  745.847059 -86.62 0.0
   230 1  744.617302 -85.91 0.0
   231 1  744.617302 -84.49 0.0
   232 1  745.847059 -83.78 0.0
   233 1  743.387546 -86.62 0.0
   234 1  742.157790 -85.91 0.0
   235 1  742.157790 -84.49 0.0
   236 1  743.387546 -83.78 0.0
   237 1  740.928034 -86.62 0.0
   238 1  739.698278 -85.91 0.0
   239 1  739.698278 -84.49 0.0
   240 1  740.928034 -83.78 0.0
   241 1  738.468522 -86.62 0.0
   242 1  737.238766 -85.91 0.0
   243 1  737.238766 -84.49 0.0
   244 1  738.468522 -83.78 0.0
   245 1  736.009010 -86.62 0.0
   246 1  734.779254 -85.91 0.0
   247 1  734.779254 -84.49 0.0
   248 1  736.009010 -83.78 0.0
   249 1  733.549498 -86.62 0.0
   250 1  732.319742 -85.91 0.0
   251 1  732.319742 -84.49 0.0
   252 1  733.549498 -83.78 0.0
   253 1  731.089986 -86.62 0.0
   254 1  729.860230 -85.91 0.0
   255 1  729.860230 -84.49 0.0
   256 1  731.089986 -83.78 0.0
   257 1  728.630473 -86.62 0.0
   258 1  727.400717 -85.91 0.0
   259 1  727.400717 -84.49 0.0
   260 1  728.630473 -83.78 0.0
   261 1  726.170961 -86.62 0.0
   262 1  724.941205 -85.91 0.0
   263 1  724.941205 -84.49 0.0
   264 1  726.170961 -83.78 0.0
   265 1  723.711449 -86.62 0.0
   266 1  722.481693 -85.91 0.0
   267 1  722.481693 -84.49 0.0
   268 1  723.711449 -83.78 0.0
   269 1  721.251937 -86.62 0.0
   270 1  720.022181 -85.91 0.0
   271 1  720.022181 -84.49 0.0
   272 1  721.251937 -83.78 0.0
   273 1  718.792425 -86.62 0.0
   274 1  717.562669 -85.91 0.0
   275 1  717.562669 -84.49 0.0
   276 1  718.792425 -83.78 0.0
   277 1  716.332913 -86.62 0.0
   278 1  715.103157 -85.91 0.0
   279 1  715.103157 -84.49 0.0
   280 1  716.332913 -83.78 0.0
   281 1  713.873401 -86.62 0.0
   282 1  712.643645 -85.91 0.0
   283 1  712.643645 -84.49 0.0
   284 1  713.873401 -83.78 0.0
   285 1  711.413888 -86.62 0.0
   286 1  710.184132 -85.91 0.0
   287 1  710.184132 -84.49 0.0
   288 1  711.413888 -83.78 0.0
   289 1  708.954376 -86.62 0.0
   290 1  707.724620 -85.91 0.0
   291 1  707.724620 -84.49 0.0
   292 1  708.954376 -83.78 0.0
   293 1  706.494864 -86.62 0.0
   294 1  705.265108 -85.91 0.0
   295 1  705.265108 -84.49 0.0
   296 1  706.494864 -83.78 0.0
   297 1  704.035352 -86.62 0.0
   298 1  702.805596 -85.91 0.0
   299 1  702.805596 -84.49 0.0
   300 1  704.035352 -83.78 0.0
   301 1  701.575840 -86.62 0.0
   302 1  700.346084 -85.91 0.0
   303 1  700.346084 -84.49 0.0
   304 1  701.575840 -83.78 0.0
   305 1  699.116328 -86.62 0.0
   306 1  697.886572 -85.91 0.0
   307 1  697.886572 -84.49 0.0
   308 1  699.116328 -83.78 0.0
   309 1  696.656816 -86.62 0.0
   310 1  695.427059 -85.91 0.0
   311 1  695.427059 -84.49 0.0
   312 1  696.656816 -83.78 0.0
   313 1  694.197303 -86.62 0.0
   314 1  692.967547 -85.91 0.0
   315 1  692.967547 -84.49 0.0
   316 1  694.197303 -83.78 0.0
   317 1  691.737791 -86.62 0.0
   318 1  690.508035 -85.91 0.0
   319 1  690.508035 -84.49 0.0
   320 1  691.737791 -83.78 0.0
   321 1  689.278279 -86.62 0.0
   322 1  688.048523 -85.91 0.0
   323 1  688.048523 -84.49 0.0
   324 1  689.278279 -83.78 0.0
   325 1  686.818767 -86.62 0.0
   326 1  685.589011 -85.91 0.0
   327 1  685.589011 -84.49 0.0
   328 1  686.818767 -83.78 0.0
   329 1  684.359255 -86.62 0.0
   330 1  683.129499 -85.91 0.0
   331 1  683.129499 -84.49 0.0
   332 1  684.359255 -83.78 0.0
   333 1  681.899743 -86.62 0.0
   334 1  680.669987 -85.91 0.0
   335 1  680.669987 -84.49 0.0
   336 1  681.899743 -83.78 0.0
   337 1  679.440231 -86.62 0.0
   338 1  678.210474 -85.91 0.0
   339 1  678.210474 -84.49 0.0
   340 1  679.440231 -83.78 0.0
   341 1  676.980718 -86.62 0.0
   342 1  675.750962 -85.91 0.0
   343 1  675.750962 -84.49 0.0
   344 1  676.980718 -83.78 0.0
   345 1  674.521206 -86.62 0.0
   346 1  673.291450 -85.91 0.0
   347 1  673.291450 -84.49 0.0
   348 1  674.521206 -83.78 0.0
   349 1  672.061694 -86.62 0.0
   350 1  670.831938 -85.91 0.0
   351 1  670.831938 -84.49 0.0
   352 1  672.061694 -83.78 0.0
   353 1  669.602182 -86.62 0.0
   354 1  668.372426 -85.91 0.0
   355 1  668.372426 -84.49 0.0
   356 1  669.602182 -83.78 0.0
   357 1  667.142670 -86.62 0.0
   358 1  665.912914 -85.91 0.0
   359 1  665.912914 -84.49 0.0
   360 1  667.142670 -83.78 0.0
   361 1  664.683158 -86.62 0.0
   362 1  663.453402 -85.91 0.0
   363 1  663.453402 -84.49 0.0
   364 1  664.683158 -83.78 0.0
   365 1  662.223646 -86.62 0.0
   366 1  660.993889 -85.91 0.0
   367 1  660.993889 -84.49 0.0
   368 1  662.223646 -83.78 0.0
   369 1  659.764133 -86.62 0.0
   370 1  658.534377 -85.91 0.0
   371 1  658.534377 -84.49 0.0
   372 1  659.764133 -83.78 0.0
   373 1  657.304621 -86.62 0.0
   374 1  656.074865 -85.91 0.0
   375 1  656.074865 -84.49 0.0
   376 1  657.304621 -83.78 0.0
   377 1  654.845109 -86.62 0.0
   378 1  653.615353 -85.91 0.0
   379 1  653.615353 -84.49 0.0
   380 1  654.845109 -83.78 0.0
   381 1  652.385597 -86.62 0.0
   382 1  651.155841 -85.91 0.0
   383 1  651.155841 -84.49 0.0
   384 1  652.385597 -83.78 0.0
   385 1  649.926085 -86.62 0.0
   386 1  648.696329 -85.91 0.0
   387 1  648.696329 -84.49 0.0
   388 1  649.926085 -83.78 0.0
   389 1  647.466573 -86.62 0.0
   390 1  646.236817 -85.91 0.0
   391 1  646.236817 -84.49 0.0
   392 1  647.466573 -83.78 0.0
   393 1  645.007060 -86.62 0.0
   394 1  643.777304 -85.91 0.0
   395 1  643.777304 -84.49 0.0
   396 1  645.007060 -83.78 0.0
   397 1  642.547548 -86.62 0.0
   398 1  641.317792 -85.91 0.0
   399 1  641.317792 -84.49 0.0
   400 1  642.547548 -83.78 0.0
   401 1  640.088036 -86.62 0.0
   402 1  638.858280 -85.91 0.0
   403 1  638.858280 -84.49 0.0
   404 1  640.088036 -83.78 0.0
   405 1  637.628524 -86.62 0.0
   406 1  636.398768 -85.91 0.0
   407 1  636.398768 -84.49 0.0
   408 1  637.628524 -83.78 0.0
   409 1  635.169012 -86.62 0.0
   410 1  633.939256 -85.91 0.0
   411 1  633.939256 -84.49 0.0
   412 1  635.169012 -83.78 0.0
   413 1  632.709500 -86.62 0.0
   414 1  631.479744 -85.91 0.0
   415 1  631.479744 -84.49 0.0
   416 1  632.709500 -83.78 0.0
   417 1  630.249988 -86.62 0.0
   418 1  629.020232 -85.91 0.0
   419 1  629.020232 -84.49 0.0
   420 1  630.249988 -83.78 0.0
   421 1  627.790475 -86.62 0.0
   422 1  626.560719 -85.91 0.0
   423 1  626.560719 -84.49 0.0
   424 1  627.790475 -83.78 0.0
   425 1  625.330963 -86.62 0.0
   426 1  624.101207 -85.91 0.0
   427 1  624.101207 -84.49 0.0
   428 1  625.330963 -83.78 0.0
   429 1  622.871451 -86.62 0.0
   430 1  621.641695 -85.91 0.0
   431 1  621.641695 -84.49 0.0
   432 1  622.871451 -83.78 0.0
   433 1  620.411939 -86.62 0.0
   434 1  619.182183 -85.91 0.0
   435 1  619.182183 -84.49 0.0
   436 1  620.411939 -83.78 0.0
   437 1  617.952427 -86.62 0.0
   438 1  616.722671 -85.91 0.0
   439 1  616.722671 -84.49 0.0
   440 1  617.952427 -83.78 0.0
   441 1  615.492915 -86.62 0.0
   442 1  614.263159 -85.91 0.0
   443 1  614.263159 -84.49 0.0
   444 1  615.492915 -83.78 0.0
   445 1  613.033403 -86.62 0.0
   446 1  611.803647 -85.91 0.0
   447 1  611.803647 -84.49 0.0
   448 1  613.033403 -83.78 0.0
   449 1  610.573890 -86.62 0.0
   450 1  609.344134 -85.91 0.0
   451 1  609.344134 -84.49 0.0
   452 1  610.573890 -83.78 0.0
   453 1  608.114378 -86.62 0.0
   454 1  606.884622 -85.91 0.0
   455 1  606.884622 -84.49 0.0
   456 1  608.114378 -83.78 0.0
   457 1  605.654866 -86.62 0.0
   458 1  604.425110 -85.91 0.0
   459 1  604.425110 -84.49 0.0
   460 1  605.654866 -83.78 0.0
   461 1  603.195354 -86.62 0.0
   462 1  601.965598 -85.91 0.0
   463 1  601.965598 -84.49 0.0
   464 1  603.195354 -83.78 0.0
   465 1  600.735842 -86.62 0.0
   466 1  599.506086 -85.91 0.0
   467 1  599.506086 -84.49 0.0
   468 1  600.735842 -83.78 0.0
   469 1  598.276330 -86.62 0.0
   470 1  597.046574 -85.91 0.0
   471 1  597.046574 -84.49 0.0
   472 1  598.276330 -83.78 0.0
   473 1  595.816818 -86.62 0.0
   474 1  594.587061 -85.91 0.0
   475 1  594.587061 -84.49 0.0
   476 1  595.816818 -83.78 0.0
   477 1  593.357305 -86.62 0.0
   478 1  592.127549 -85.91 0.0
   479 1  592.127549 -84.49 0.0
   480 1  593.357305 -83.78 0.0
   481 1  590.897793 -86.62 0.0
   482 1  589.668037 -85.91 0.0
   483 1  589.668037 -84.49 0.0
   484 1  590.897793 -83.78 0.0
   485 1  588.438281 -86.62 0.0
   486 1  587.208525 -85.91 0.0
   487 1  587.208525 -84.49 0.0
   488 1  588.438281 -83.78 0.0
   489 1  585.978769 -86.62 0.0
   490 1  584.749013 -85.91 0.0
   491 1  584.749013 -84.49 0.0
   492 1  585.978769 -83.78 0.0
   493 1  583.519257 -86.62 0.0
   494 1  582.289501 -85.91 0.0
   495 1  582.289501 -84.49 0.0
   496 1  583.519257 -83.78 0.0
   497 1  581.059745 -86.62 0.0
   498 1  579.829989 -85.91 0.0
   499 1  579.829989 -84.49 0.0
   500 1  581.059745 -83.78 0.0
   501 1  578.600233 -86.62 0.0
   502 1  577.370476 -85.91 0.0
   503 1  577.370476 -84.49 0.0
   504 1  578.600233 -83.78 0.0
   505 1  576.140720 -86.62 0.0
   506 1  574.910964 -85.91 0.0
   507 1  574.910964 -84.49 0.0
   508 1  576.140720 -83.78 0.0
   509 1  573.681208 -86.62 0.0
   510 1  572.451452 -85.91 0.0
   511 1  572.451452 -84.49 0.0
   512 1  573.681208 -83.78 0.0
   513 1  571.221696 -86.62 0.0
   514 1  569.991940 -85.91 0.0
   515 1  569.991940 -84.49 0.0
   516 1  571.221696 -83.78 0.0
   517 1  568.762184 -86.62 0.0
   518 1  567.532428 -85.91 0.0
   519 1  567.532428 -84.49 0.0
   520 1  568.762184 -83.78 0.0
   521 1  566.302672 -86.62 0.0
   522 1  565.072916 -85.91 0.0
   523 1  565.072916 -84.49 0.0
   524 1  566.302672 -83.78 0.0
   525 1  563.843160 -86.62 0.0
   526 1  562.613404 -85.91 0.0
   527 1  562.613404 -84.49 0.0
   528 1  563.843160 -83.78 0.0
   529 1  561.383647 -86.62 0.0
   530 1  560.153891 -85.91 0.0
   531 1  560.153891 -84.49 0.0
   532 1  561.383647 -83.78 0.0
   533 1  558.924135 -86.62 0.0
   534 1  557.694379 -85.91 0.0
   535 1  557.694379 -84.49 0.0
   536 1  558.924135 -83.78 0.0
   537 1  556.464623 -86.62 0.0
   538 1  555.234867 -85.91 0.0
   539 1  555.234867 -84.49 0.0
   540 1  556.464623 -83.78 0.0
   541 1  554.005111 -86.62 0.0
   542 1  552.775355 -85.91 0.0
   543 1  552.775355 -84.49 0.0
   544 1  554.005111 -83.78 0.0
   545 1  551.545599 -86.62 0.0
   546 1  550.315843 -85.91 0.0
   547 1  550.315843 -84.49 0.0
   548 1  551.545599 -83.78 0.0
   549 1  549.086087 -86.62 0.0
   550 1  547.856331 -85.91 0.0
   551 1  547.856331 -84.49 0.0
   552 1  549.086087 -83.78 0.0
   553 1  546.626575 -86.62 0.0
   554 1  545.396819 -85.91 0.0
   555 1  545.396819 -84.49 0.0
   556 1  546.626575 -83.78 0.0
   557 1  544.167062 -86.62 0.0
   558 1  542.937306 -85.91 0.0
   559 1  542.937306 -84.49 0.0
   560 1  544.167062 -83.78 0.0
   561 1  541.707550 -86.62 0.0
   562 1  540.477794 -85.91 0.0
   563 1  540.477794 -84.49 0.0
   564 1  541.707550 -83.78 0.0
   565 1  539.248038 -86.62 0.0
   566 1  538.018282 -85.91 0.0
   567 1  538.018282 -84.49 0.0
   568 1  539.248038 -83.78 0.0
   569 1  536.788526 -86.62 0.0
   570 1  535.558770 -85.91 0.0
   571 1  535.558770 -84.49 0.0
   572 1  536.788526 -83.78 0.0
   573 1  534.329014 -86.62 0.0
   574 1  533.099258 -85.91 0.0
   575 1  533.099258 -84.49 0.0
   576 1  534.329014 -83.78 0.0
   577 1  531.869502 -86.62 0.0
   578 1  530.639746 -85.91 0.0
   579 1  530.639746 -84.49 0.0
   580 1  531.869502 -83.78 0.0
   581 1  529.409990 -86.62 0.0
   582 1  528.180234 -85.91 0.0
   583 1  528.180234 -84.49 0.0
   584 1  529.409990 -83.78 0.0
   585 1  526.950477 -86.62 0.0
   586 1  525.720721 -85.91 0.0
   587 1  525.720721 -84.49 0.0
   588 1  526.950477 -83.78 0.0
