# Lorenzo Manunza 14th April 2025

39524 atoms
1 atom types

-296.37121 296.37121 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

  163 1  196.146094 -84.49 0.0
  164 1  197.375850 -83.78 0.0
  165 1  194.916338 -86.62 0.0
  166 1  193.686582 -85.91 0.0
  167 1  193.686582 -84.49 0.0
  168 1  194.916338 -83.78 0.0
  169 1  192.456825 -86.62 0.0
  170 1  191.227069 -85.91 0.0
  171 1  191.227069 -84.49 0.0
  172 1  192.456825 -83.78 0.0
  173 1  189.997313 -86.62 0.0
  174 1  188.767557 -85.91 0.0
  175 1  188.767557 -84.49 0.0
  176 1  189.997313 -83.78 0.0
  177 1  187.537801 -86.62 0.0
  178 1  186.308045 -85.91 0.0
  179 1  186.308045 -84.49 0.0
  180 1  187.537801 -83.78 0.0
  181 1  185.078289 -86.62 0.0
  182 1  183.848533 -85.91 0.0
  183 1  183.848533 -84.49 0.0
  184 1  185.078289 -83.78 0.0
  185 1  182.618777 -86.62 0.0
  186 1  181.389021 -85.91 0.0
  187 1  181.389021 -84.49 0.0
  188 1  182.618777 -83.78 0.0
  189 1  180.159265 -86.62 0.0
  190 1  178.929509 -85.91 0.0
  191 1  178.929509 -84.49 0.0
  192 1  180.159265 -83.78 0.0
  193 1  177.699753 -86.62 0.0
  194 1  176.469997 -85.91 0.0
  195 1  176.469997 -84.49 0.0
  196 1  177.699753 -83.78 0.0
  197 1  175.240240 -86.62 0.0
  198 1  174.010484 -85.91 0.0
  199 1  174.010484 -84.49 0.0
  200 1  175.240240 -83.78 0.0
  201 1  172.780728 -86.62 0.0
  202 1  171.550972 -85.91 0.0
  203 1  171.550972 -84.49 0.0
  204 1  172.780728 -83.78 0.0
  205 1  170.321216 -86.62 0.0
  206 1  169.091460 -85.91 0.0
  207 1  169.091460 -84.49 0.0
  208 1  170.321216 -83.78 0.0
  209 1  167.861704 -86.62 0.0
  210 1  166.631948 -85.91 0.0
  211 1  166.631948 -84.49 0.0
  212 1  167.861704 -83.78 0.0
  213 1  165.402192 -86.62 0.0
  214 1  164.172436 -85.91 0.0
  215 1  164.172436 -84.49 0.0
  216 1  165.402192 -83.78 0.0
  217 1  162.942680 -86.62 0.0
  218 1  161.712924 -85.91 0.0
  219 1  161.712924 -84.49 0.0
  220 1  162.942680 -83.78 0.0
  221 1  160.483168 -86.62 0.0
  222 1  159.253412 -85.91 0.0
  223 1  159.253412 -84.49 0.0
  224 1  160.483168 -83.78 0.0
  225 1  158.023655 -86.62 0.0
  226 1  156.793899 -85.91 0.0
  227 1  156.793899 -84.49 0.0
  228 1  158.023655 -83.78 0.0
  229 1  155.564143 -86.62 0.0
  230 1  154.334387 -85.91 0.0
  231 1  154.334387 -84.49 0.0
  232 1  155.564143 -83.78 0.0
  233 1  153.104631 -86.62 0.0
  234 1  151.874875 -85.91 0.0
  235 1  151.874875 -84.49 0.0
  236 1  153.104631 -83.78 0.0
  237 1  150.645119 -86.62 0.0
  238 1  149.415363 -85.91 0.0
  239 1  149.415363 -84.49 0.0
  240 1  150.645119 -83.78 0.0
  241 1  148.185607 -86.62 0.0
  242 1  146.955851 -85.91 0.0
  243 1  146.955851 -84.49 0.0
  244 1  148.185607 -83.78 0.0
  245 1  145.726095 -86.62 0.0
  246 1  144.496339 -85.91 0.0
  247 1  144.496339 -84.49 0.0
  248 1  145.726095 -83.78 0.0
  249 1  143.266583 -86.62 0.0
  250 1  142.036826 -85.91 0.0
  251 1  142.036826 -84.49 0.0
  252 1  143.266583 -83.78 0.0
  253 1  140.807070 -86.62 0.0
  254 1  139.577314 -85.91 0.0
  255 1  139.577314 -84.49 0.0
  256 1  140.807070 -83.78 0.0
  257 1  138.347558 -86.62 0.0
  258 1  137.117802 -85.91 0.0
  259 1  137.117802 -84.49 0.0
  260 1  138.347558 -83.78 0.0
  261 1  135.888046 -86.62 0.0
  262 1  134.658290 -85.91 0.0
  263 1  134.658290 -84.49 0.0
  264 1  135.888046 -83.78 0.0
  265 1  133.428534 -86.62 0.0
  266 1  132.198778 -85.91 0.0
  267 1  132.198778 -84.49 0.0
  268 1  133.428534 -83.78 0.0
  269 1  130.969022 -86.62 0.0
  270 1  129.739266 -85.91 0.0
  271 1  129.739266 -84.49 0.0
  272 1  130.969022 -83.78 0.0
  273 1  128.509510 -86.62 0.0
  274 1  127.279754 -85.91 0.0
  275 1  127.279754 -84.49 0.0
  276 1  128.509510 -83.78 0.0
  277 1  126.049998 -86.62 0.0
  278 1  124.820241 -85.91 0.0
  279 1  124.820241 -84.49 0.0
  280 1  126.049998 -83.78 0.0
  281 1  123.590485 -86.62 0.0
  282 1  122.360729 -85.91 0.0
  283 1  122.360729 -84.49 0.0
  284 1  123.590485 -83.78 0.0
  285 1  121.130973 -86.62 0.0
  286 1  119.901217 -85.91 0.0
  287 1  119.901217 -84.49 0.0
  288 1  121.130973 -83.78 0.0
  289 1  118.671461 -86.62 0.0
  290 1  117.441705 -85.91 0.0
  291 1  117.441705 -84.49 0.0
  292 1  118.671461 -83.78 0.0
  293 1  116.211949 -86.62 0.0
  294 1  114.982193 -85.91 0.0
  295 1  114.982193 -84.49 0.0
  296 1  116.211949 -83.78 0.0
  297 1  113.752437 -86.62 0.0
  298 1  112.522681 -85.91 0.0
  299 1  112.522681 -84.49 0.0
  300 1  113.752437 -83.78 0.0
  301 1  111.292925 -86.62 0.0
  302 1  110.063169 -85.91 0.0
  303 1  110.063169 -84.49 0.0
  304 1  111.292925 -83.78 0.0
  305 1  108.833412 -86.62 0.0
  306 1  107.603656 -85.91 0.0
  307 1  107.603656 -84.49 0.0
  308 1  108.833412 -83.78 0.0
  309 1  106.373900 -86.62 0.0
  310 1  105.144144 -85.91 0.0
  311 1  105.144144 -84.49 0.0
  312 1  106.373900 -83.78 0.0
  313 1  103.914388 -86.62 0.0
  314 1  102.684632 -85.91 0.0
  315 1  102.684632 -84.49 0.0
  316 1  103.914388 -83.78 0.0
  317 1  101.454876 -86.62 0.0
  318 1  100.225120 -85.91 0.0
  319 1  100.225120 -84.49 0.0
  320 1  101.454876 -83.78 0.0
  321 1   98.995364 -86.62 0.0
  322 1   97.765608 -85.91 0.0
  323 1   97.765608 -84.49 0.0
  324 1   98.995364 -83.78 0.0
  325 1   96.535852 -86.62 0.0
  326 1   95.306096 -85.91 0.0
  327 1   95.306096 -84.49 0.0
  328 1   96.535852 -83.78 0.0
  329 1   94.076340 -86.62 0.0
  330 1   92.846584 -85.91 0.0
  331 1   92.846584 -84.49 0.0
  332 1   94.076340 -83.78 0.0
  333 1   91.616827 -86.62 0.0
  334 1   90.387071 -85.91 0.0
  335 1   90.387071 -84.49 0.0
  336 1   91.616827 -83.78 0.0
  337 1   89.157315 -86.62 0.0
  338 1   87.927559 -85.91 0.0
  339 1   87.927559 -84.49 0.0
  340 1   89.157315 -83.78 0.0
  341 1   86.697803 -86.62 0.0
  342 1   85.468047 -85.91 0.0
  343 1   85.468047 -84.49 0.0
  344 1   86.697803 -83.78 0.0
  345 1   84.238291 -86.62 0.0
  346 1   83.008535 -85.91 0.0
  347 1   83.008535 -84.49 0.0
  348 1   84.238291 -83.78 0.0
  349 1   81.778779 -86.62 0.0
  350 1   80.549023 -85.91 0.0
  351 1   80.549023 -84.49 0.0
  352 1   81.778779 -83.78 0.0
  353 1   79.319267 -86.62 0.0
  354 1   78.089511 -85.91 0.0
  355 1   78.089511 -84.49 0.0
  356 1   79.319267 -83.78 0.0
  357 1   76.859755 -86.62 0.0
  358 1   75.629999 -85.91 0.0
  359 1   75.629999 -84.49 0.0
  360 1   76.859755 -83.78 0.0
  361 1   74.400242 -86.62 0.0
  362 1   73.170486 -85.91 0.0
  363 1   73.170486 -84.49 0.0
  364 1   74.400242 -83.78 0.0
  365 1   71.940730 -86.62 0.0
  366 1   70.710974 -85.91 0.0
  367 1   70.710974 -84.49 0.0
  368 1   71.940730 -83.78 0.0
  369 1   69.481218 -86.62 0.0
  370 1   68.251462 -85.91 0.0
  371 1   68.251462 -84.49 0.0
  372 1   69.481218 -83.78 0.0
  373 1   67.021706 -86.62 0.0
  374 1   65.791950 -85.91 0.0
  375 1   65.791950 -84.49 0.0
  376 1   67.021706 -83.78 0.0
  377 1   64.562194 -86.62 0.0
  378 1   63.332438 -85.91 0.0
  379 1   63.332438 -84.49 0.0
  380 1   64.562194 -83.78 0.0
  381 1   62.102682 -86.62 0.0
  382 1   60.872926 -85.91 0.0
  383 1   60.872926 -84.49 0.0
  384 1   62.102682 -83.78 0.0
  385 1   59.643170 -86.62 0.0
  386 1   58.413413 -85.91 0.0
  387 1   58.413413 -84.49 0.0
  388 1   59.643170 -83.78 0.0
  389 1   57.183657 -86.62 0.0
  390 1   55.953901 -85.91 0.0
  391 1   55.953901 -84.49 0.0
  392 1   57.183657 -83.78 0.0
  393 1   54.724145 -86.62 0.0
  394 1   53.494389 -85.91 0.0
  395 1   53.494389 -84.49 0.0
  396 1   54.724145 -83.78 0.0
  397 1   52.264633 -86.62 0.0
  398 1   51.034877 -85.91 0.0
  399 1   51.034877 -84.49 0.0
  400 1   52.264633 -83.78 0.0
  401 1   49.805121 -86.62 0.0
  402 1   48.575365 -85.91 0.0
  403 1   48.575365 -84.49 0.0
  404 1   49.805121 -83.78 0.0
  405 1   47.345609 -86.62 0.0
  406 1   46.115853 -85.91 0.0
  407 1   46.115853 -84.49 0.0
  408 1   47.345609 -83.78 0.0
  409 1   44.886097 -86.62 0.0
  410 1   43.656341 -85.91 0.0
  411 1   43.656341 -84.49 0.0
  412 1   44.886097 -83.78 0.0
  413 1   42.426585 -86.62 0.0
  414 1   41.196828 -85.91 0.0
  415 1   41.196828 -84.49 0.0
  416 1   42.426585 -83.78 0.0
  417 1   39.967072 -86.62 0.0
  418 1   38.737316 -85.91 0.0
  419 1   38.737316 -84.49 0.0
  420 1   39.967072 -83.78 0.0
  421 1   37.507560 -86.62 0.0
  422 1   36.277804 -85.91 0.0
  423 1   36.277804 -84.49 0.0
  424 1   37.507560 -83.78 0.0
  425 1   35.048048 -86.62 0.0
  426 1   33.818292 -85.91 0.0
  427 1   33.818292 -84.49 0.0
  428 1   35.048048 -83.78 0.0
  429 1   32.588536 -86.62 0.0
  430 1   31.358780 -85.91 0.0
  431 1   31.358780 -84.49 0.0
  432 1   32.588536 -83.78 0.0
  433 1   30.129024 -86.62 0.0
  434 1   28.899268 -85.91 0.0
  435 1   28.899268 -84.49 0.0
  436 1   30.129024 -83.78 0.0
  437 1   27.669512 -86.62 0.0
  438 1   26.439756 -85.91 0.0
  439 1   26.439756 -84.49 0.0
  440 1   27.669512 -83.78 0.0
  441 1   25.210000 -86.62 0.0
  442 1   23.980243 -85.91 0.0
  443 1   23.980243 -84.49 0.0
  444 1   25.210000 -83.78 0.0
