# Lorenzo Manunza 14th April 2025

98564 atoms
1 atom types

-739.08340 739.08340 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

    1 1  738.468522 -86.62 0.0
    2 1  737.238766 -85.91 0.0
    3 1  737.238766 -84.49 0.0
    4 1  738.468522 -83.78 0.0
    5 1  736.009010 -86.62 0.0
    6 1  734.779254 -85.91 0.0
    7 1  734.779254 -84.49 0.0
    8 1  736.009010 -83.78 0.0
    9 1  733.549498 -86.62 0.0
   10 1  732.319742 -85.91 0.0
   11 1  732.319742 -84.49 0.0
   12 1  733.549498 -83.78 0.0
   13 1  731.089986 -86.62 0.0
   14 1  729.860230 -85.91 0.0
   15 1  729.860230 -84.49 0.0
   16 1  731.089986 -83.78 0.0
   17 1  728.630473 -86.62 0.0
   18 1  727.400717 -85.91 0.0
   19 1  727.400717 -84.49 0.0
   20 1  728.630473 -83.78 0.0
   21 1  726.170961 -86.62 0.0
   22 1  724.941205 -85.91 0.0
   23 1  724.941205 -84.49 0.0
   24 1  726.170961 -83.78 0.0
   25 1  723.711449 -86.62 0.0
   26 1  722.481693 -85.91 0.0
   27 1  722.481693 -84.49 0.0
   28 1  723.711449 -83.78 0.0
   29 1  721.251937 -86.62 0.0
   30 1  720.022181 -85.91 0.0
   31 1  720.022181 -84.49 0.0
   32 1  721.251937 -83.78 0.0
   33 1  718.792425 -86.62 0.0
   34 1  717.562669 -85.91 0.0
   35 1  717.562669 -84.49 0.0
   36 1  718.792425 -83.78 0.0
   37 1  716.332913 -86.62 0.0
   38 1  715.103157 -85.91 0.0
   39 1  715.103157 -84.49 0.0
   40 1  716.332913 -83.78 0.0
   41 1  713.873401 -86.62 0.0
   42 1  712.643645 -85.91 0.0
   43 1  712.643645 -84.49 0.0
   44 1  713.873401 -83.78 0.0
   45 1  711.413888 -86.62 0.0
   46 1  710.184132 -85.91 0.0
   47 1  710.184132 -84.49 0.0
   48 1  711.413888 -83.78 0.0
   49 1  708.954376 -86.62 0.0
   50 1  707.724620 -85.91 0.0
   51 1  707.724620 -84.49 0.0
   52 1  708.954376 -83.78 0.0
   53 1  706.494864 -86.62 0.0
   54 1  705.265108 -85.91 0.0
   55 1  705.265108 -84.49 0.0
   56 1  706.494864 -83.78 0.0
   57 1  704.035352 -86.62 0.0
   58 1  702.805596 -85.91 0.0
   59 1  702.805596 -84.49 0.0
   60 1  704.035352 -83.78 0.0
   61 1  701.575840 -86.62 0.0
   62 1  700.346084 -85.91 0.0
   63 1  700.346084 -84.49 0.0
   64 1  701.575840 -83.78 0.0
   65 1  699.116328 -86.62 0.0
   66 1  697.886572 -85.91 0.0
   67 1  697.886572 -84.49 0.0
   68 1  699.116328 -83.78 0.0
   69 1  696.656816 -86.62 0.0
   70 1  695.427059 -85.91 0.0
   71 1  695.427059 -84.49 0.0
   72 1  696.656816 -83.78 0.0
   73 1  694.197303 -86.62 0.0
   74 1  692.967547 -85.91 0.0
   75 1  692.967547 -84.49 0.0
   76 1  694.197303 -83.78 0.0
   77 1  691.737791 -86.62 0.0
   78 1  690.508035 -85.91 0.0
   79 1  690.508035 -84.49 0.0
   80 1  691.737791 -83.78 0.0
   81 1  689.278279 -86.62 0.0
   82 1  688.048523 -85.91 0.0
   83 1  688.048523 -84.49 0.0
   84 1  689.278279 -83.78 0.0
   85 1  686.818767 -86.62 0.0
   86 1  685.589011 -85.91 0.0
   87 1  685.589011 -84.49 0.0
   88 1  686.818767 -83.78 0.0
   89 1  684.359255 -86.62 0.0
   90 1  683.129499 -85.91 0.0
   91 1  683.129499 -84.49 0.0
   92 1  684.359255 -83.78 0.0
   93 1  681.899743 -86.62 0.0
   94 1  680.669987 -85.91 0.0
   95 1  680.669987 -84.49 0.0
   96 1  681.899743 -83.78 0.0
   97 1  679.440231 -86.62 0.0
   98 1  678.210474 -85.91 0.0
   99 1  678.210474 -84.49 0.0
  100 1  679.440231 -83.78 0.0
  101 1  676.980718 -86.62 0.0
  102 1  675.750962 -85.91 0.0
  103 1  675.750962 -84.49 0.0
  104 1  676.980718 -83.78 0.0
  105 1  674.521206 -86.62 0.0
  106 1  673.291450 -85.91 0.0
  107 1  673.291450 -84.49 0.0
  108 1  674.521206 -83.78 0.0
  109 1  672.061694 -86.62 0.0
  110 1  670.831938 -85.91 0.0
  111 1  670.831938 -84.49 0.0
  112 1  672.061694 -83.78 0.0
  113 1  669.602182 -86.62 0.0
  114 1  668.372426 -85.91 0.0
  115 1  668.372426 -84.49 0.0
  116 1  669.602182 -83.78 0.0
  117 1  667.142670 -86.62 0.0
  118 1  665.912914 -85.91 0.0
  119 1  665.912914 -84.49 0.0
  120 1  667.142670 -83.78 0.0
  121 1  664.683158 -86.62 0.0
  122 1  663.453402 -85.91 0.0
  123 1  663.453402 -84.49 0.0
  124 1  664.683158 -83.78 0.0
  125 1  662.223646 -86.62 0.0
  126 1  660.993889 -85.91 0.0
  127 1  660.993889 -84.49 0.0
  128 1  662.223646 -83.78 0.0
  129 1  659.764133 -86.62 0.0
  130 1  658.534377 -85.91 0.0
  131 1  658.534377 -84.49 0.0
  132 1  659.764133 -83.78 0.0
  133 1  657.304621 -86.62 0.0
  134 1  656.074865 -85.91 0.0
  135 1  656.074865 -84.49 0.0
  136 1  657.304621 -83.78 0.0
  137 1  654.845109 -86.62 0.0
  138 1  653.615353 -85.91 0.0
  139 1  653.615353 -84.49 0.0
  140 1  654.845109 -83.78 0.0
  141 1  652.385597 -86.62 0.0
  142 1  651.155841 -85.91 0.0
  143 1  651.155841 -84.49 0.0
  144 1  652.385597 -83.78 0.0
  145 1  649.926085 -86.62 0.0
  146 1  648.696329 -85.91 0.0
  147 1  648.696329 -84.49 0.0
  148 1  649.926085 -83.78 0.0
  149 1  647.466573 -86.62 0.0
  150 1  646.236817 -85.91 0.0
  151 1  646.236817 -84.49 0.0
  152 1  647.466573 -83.78 0.0
  153 1  645.007060 -86.62 0.0
