# Lorenzo Manunza 14th April 2025

157768 atoms
1 atom types

-591.51267 591.51267 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   163 1  491.287551 -84.49 0.00
   164 1  492.517307 -83.78 0.00
   165 1  490.057795 -86.62 0.00
   166 1  488.828039 -85.91 0.00
   167 1  488.828039 -84.49 0.00
   168 1  490.057795 -83.78 0.00
   169 1  487.598283 -86.62 0.00
   170 1  486.368527 -85.91 0.00
   171 1  486.368527 -84.49 0.00
   172 1  487.598283 -83.78 0.00
   173 1  485.138771 -86.62 0.00
   174 1  483.909015 -85.91 0.00
   175 1  483.909015 -84.49 0.00
   176 1  485.138771 -83.78 0.00
   177 1  482.679259 -86.62 0.00
   178 1  481.449503 -85.91 0.00
   179 1  481.449503 -84.49 0.00
   180 1  482.679259 -83.78 0.00
   181 1  480.219747 -86.62 0.00
   182 1  478.989991 -85.91 0.00
   183 1  478.989991 -84.49 0.00
   184 1  480.219747 -83.78 0.00
   185 1  477.760235 -86.62 0.00
   186 1  476.530478 -85.91 0.00
   187 1  476.530478 -84.49 0.00
   188 1  477.760235 -83.78 0.00
   189 1  475.300722 -86.62 0.00
   190 1  474.070966 -85.91 0.00
   191 1  474.070966 -84.49 0.00
   192 1  475.300722 -83.78 0.00
   193 1  472.841210 -86.62 0.00
   194 1  471.611454 -85.91 0.00
   195 1  471.611454 -84.49 0.00
   196 1  472.841210 -83.78 0.00
   197 1  470.381698 -86.62 0.00
   198 1  469.151942 -85.91 0.00
   199 1  469.151942 -84.49 0.00
   200 1  470.381698 -83.78 0.00
   201 1  467.922186 -86.62 0.00
   202 1  466.692430 -85.91 0.00
   203 1  466.692430 -84.49 0.00
   204 1  467.922186 -83.78 0.00
   205 1  465.462674 -86.62 0.00
   206 1  464.232918 -85.91 0.00
   207 1  464.232918 -84.49 0.00
   208 1  465.462674 -83.78 0.00
   209 1  463.003162 -86.62 0.00
   210 1  461.773406 -85.91 0.00
   211 1  461.773406 -84.49 0.00
   212 1  463.003162 -83.78 0.00
   213 1  460.543649 -86.62 0.00
   214 1  459.313893 -85.91 0.00
   215 1  459.313893 -84.49 0.00
   216 1  460.543649 -83.78 0.00
   217 1  458.084137 -86.62 0.00
   218 1  456.854381 -85.91 0.00
   219 1  456.854381 -84.49 0.00
   220 1  458.084137 -83.78 0.00
   221 1  455.624625 -86.62 0.00
   222 1  454.394869 -85.91 0.00
   223 1  454.394869 -84.49 0.00
   224 1  455.624625 -83.78 0.00
   225 1  453.165113 -86.62 0.00
   226 1  451.935357 -85.91 0.00
